2023-10-11 16:15:14.875  DEBUG [main                          ] - s.O.selectProdnum                            [137] : <==      Total: 3
2023-10-11 16:15:15.310  INFO  [main                          ] - AutoCreateReviewFlow                         [99] : [checkDateEnd=2023-10-11, checkDateStart=2023-10-11, uniCodeList=75643523465432123]
2023-10-11 16:15:42.144  INFO  [main                          ] - AutoCreateReviewFlow                         [104] : 多产品回访 {"serviceId":"78216F901CA34D45B69634AD35A34177","errCode":{"code":200,"chs":"成功","eng":"success","exceptionClass":null},"errMsg":null,"data":[{"unifiedsocialCode":"75643523465432123","clientIdList":["DEV1100106499","DEV1100106722","DEV1100106356"],"allInfo":null,"success":true,"errMsg":null}]}
2023-10-11 16:15:42.144  INFO  [main                          ] - AutoCreateReviewFlow                         [114] : [checkDateEnd=2023-10-11, checkDateStart=2023-10-11, uniCodeList=75643523465432123]
2023-10-11 16:16:06.050  INFO  [main                          ] - AutoCreateReviewFlow                         [120] : 单产品回访{"serviceId":"65FE5D162A494BEC841D7AB4AADB0370","errCode":{"code":200,"chs":"成功","eng":"success","exceptionClass":null},"errMsg":null,"data":[{"unifiedsocialCode":"75643523465432123","clientIdList":["DEV1100106355"],"allInfo":null,"success":true,"errMsg":null}]}
2023-10-11 16:16:06.053  INFO  [main                          ] - UploadFile                                   [38] : file :20220318144757.png
2023-10-11 16:16:06.054  INFO  [main                          ] - UploadFile                                   [42] : File is exisits
2023-10-11 16:16:08.293  INFO  [main                          ] - UploadFile                                   [64] : {"serviceId":"75BEBC6D5EC346929817DBF1FBD29733","errCode":{"code":200,"chs":"成功","eng":"success","exceptionClass":null},"errMsg":null,"data":[{"s3FileId":"75d7d647-0cb8-4b8f-bdf8-948896f21879","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"965794b7-0617-4d6e-a6ef-f6d63e36124c","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"251b7e77-0e61-410b-83a8-bbec4347149d","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"9bf4da8b-6542-4efb-8930-96c25a566902","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"2ae4b4b4-d370-42c7-b936-add589141042","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"28fef13a-9b6a-4dc7-a7b3-04c720e0150e","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"69b67ac0-de65-4568-bfba-36c3847ac5f3","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"84760405-b9e5-4532-ab3e-f2c5c9a4ce7e","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"874fad99-169c-4471-a603-39fe2604c901","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"c83984a6-164d-4dc3-bac2-fe1458bffcf3","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"3a570510-9dc9-4a39-be77-a2fb7ec37a90","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"3687adfa-1b3d-47e2-af97-f07b09e05276","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"},{"s3FileId":"d80e6102-9767-44a1-9cc7-d088438e6dcf","recordId":null,"clientId":null,"fileName":"20220318144757.png","fileBelong":"主体/管理人文件","fileSize":159322,"uploadActivity":"拟稿","createdUser":"sunbin","createdDateTime":"2023-10-11 16:16:41"}]}
2023-10-11 16:16:08.447  INFO  [main                          ] - UploadFile                                   [77] : [75d7d647-0cb8-4b8f-bdf8-948896f21879, 965794b7-0617-4d6e-a6ef-f6d63e36124c, 251b7e77-0e61-410b-83a8-bbec4347149d, 9bf4da8b-6542-4efb-8930-96c25a566902, 2ae4b4b4-d370-42c7-b936-add589141042, 28fef13a-9b6a-4dc7-a7b3-04c720e0150e, 69b67ac0-de65-4568-bfba-36c3847ac5f3, 84760405-b9e5-4532-ab3e-f2c5c9a4ce7e, 874fad99-169c-4471-a603-39fe2604c901, c83984a6-164d-4dc3-bac2-fe1458bffcf3, 3a570510-9dc9-4a39-be77-a2fb7ec37a90, 3687adfa-1b3d-47e2-af97-f07b09e05276, d80e6102-9767-44a1-9cc7-d088438e6dcf]
2023-10-11 16:16:08.449  INFO  [main                          ] - AutoCreateReviewFlow                         [127] : 32
2023-10-11 16:16:08.452  INFO  [main                          ] - AutoCreateReviewFlow                         [164] : 已更新基本信息
